name,stargazers_count,watchers_count,language,open_issues,forks,open_issues,size,html_url
dlbook_exercises,1130,1130,TeX,8,308,8,7,https://github.com/goodfeli/dlbook_exercises
Image-OutPainting,1130,1130,Jupyter Notebook,11,230,11,495,https://github.com/bendangnuksung/Image-OutPainting
onnx-tensorflow,1125,1125,Python,250,290,250,1987,https://github.com/onnx/onnx-tensorflow
yt-channels-DS-AI-ML-CS,1124,1124,,0,131,0,59,https://github.com/benthecoder/yt-channels-DS-AI-ML-CS
Machine-Learning-with-Python,1123,1123,Python,0,187,0,826,https://github.com/devAmoghS/Machine-Learning-with-Python
DFace,1120,1120,Python,30,341,30,3843,https://github.com/kuaikuaikim/DFace
ailia-models,1120,1120,Python,176,202,176,893966,https://github.com/axinc-ai/ailia-models
torch-cam,1119,1119,Python,6,122,6,9564,https://github.com/frgfm/torch-cam
learn_dl,1118,1118,Python,48,994,48,41,https://github.com/hanbt/learn_dl
uncertainty-baselines,1118,1118,Python,112,158,112,5907,https://github.com/google/uncertainty-baselines
